"dog_id","Sample_Year","DAP_Sample_ID","krt_cbc_total_wbcs","krt_cbc_abs_metamyelocytes","krt_cbc_abs_bands","krt_cbc_abs_neutrophils","krt_cbc_abs_lymphocytes","krt_cbc_abs_monocytes","krt_cbc_abs_eosinophils","krt_cbc_abs_basophils","krt_cbc_abs_other_cells","krt_cbc_rel_metamyelocytes","krt_cbc_rel_bands","krt_cbc_rel_neutrophils","krt_cbc_rel_lymphocytes","krt_cbc_rel_monocytes","krt_cbc_rel_eosinophils","krt_cbc_rel_basophils","krt_cbc_rel_other_cells","krt_cbc_rbc","krt_cbc_hgb","krt_cbc_hct","krt_cbc_pcv","krt_cbc_mcv","krt_cbc_mch","krt_cbc_mchc","krt_cbc_rdw","krt_cbc_plt","krt_cbc_mpv","krt_cbc_pct","krt_cbc_plt_quant","krt_cbc_plt_morph","krt_cbc_plt_morph_2","krt_cbc_plt_morph_num","krt_cbc_plt_morph_num_2","krt_cbc_nucleated_rbcs","krt_cbc_retic_per","krt_cbc_retic_abs","krt_cbc_rbc_morph","krt_cbc_rbc_morph_2","krt_cbc_rbc_morph_3","krt_cbc_rbc_morph_num","krt_cbc_rbc_morph_num_2","krt_cbc_rbc_morph_num_3","krt_cbc_wbc_morph","krt_cbc_wbc_morph_2","krt_cbc_wbc_morph_num","krt_cbc_hemoparasites","krt_cbc_test_comments"
43,"precision_1","43-precision_1-CBC",8.78,0,0,6.67,1.14,0.97,0,0,0,0,0,76,13,11,0,0,0,6.94,17.9,51.7,NA,74.5,25.8,34.6,11.7,494,10,0.49,"Appear Adequate","Clumped",NA,"Mild",NA,NA,2.24,155.6,"Polychromasia",NA,NA,"1+",NA,NA,"Reactive Lymphocytes",NA,"Rare","None Observed",NA
43,"precision_3","43-precision_3-CBC",7.64,0,0,5.65,0.99,0.61,0.38,0,0,0,0,74,13,8,5,0,0,7.39,19.1,55.6,NA,75.2,25.8,34.4,12.3,345,10.2,0.7,"Appear Adequate","Clumped",NA,"Moderate",NA,NA,1.99,147.2,"Polychromasia",NA,NA,"2+",NA,NA,"Unremarkable",NA,NA,"None Observed","There is a reticulocytosis without an apparent anemia. General considerations include early or resolving anemia from blood loss or hemolysis, cardiac or pulmonary disease. In addition, reticulocytosis without anemia has been associated with dogs on anti-inflammatory drugs and with osteoarthritis. Serial monitoring of these values may clarify the clinical significance of the reticulocytosis."
154,"precision_1","154-precision_1-CBC",4.75,0,0,3.42,1.09,0.19,0.05,0,0,0,0,72,23,4,1,0,0,8.75,20.7,64,NA,73.1,23.7,32.3,12.6,253,13.2,0.33,"Appear Adequate","Clumped",NA,"Mild",NA,NA,0.8,70.2,"Crenation",NA,NA,"1+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
154,"precision_2","154-precision_2-CBC",6.38,0,0,4.91,0.83,0.57,0.06,0,0,0,0,77,13,9,1,0,0,8.11,20.3,63.9,NA,78.8,25,31.8,12.3,381,11.1,0.42,"Appear Adequate",NA,NA,NA,NA,NA,2.33,188.6,"Polychromasia",NA,NA,"1+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
225,"precision_1","225-precision_1-CBC",6.52,0,0,5.87,0.59,0,0.07,0,0,0,0,90,9,0,1,0,0,8,20.3,61.7,NA,77.1,25.4,32.9,12.5,NA,26.9,0.43,"Appear Adequate","Clumped",NA,"Marked",NA,NA,1.19,94.8,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed","Sample is too hemolyzed to obtain an accurate plasma protein.  "
225,"precision_2","225-precision_2-CBC",7.58,0,0,5.46,1.59,0.38,0.15,0,0,0,0,72,21,5,2,0,0,7.56,18.1,53,53,70.1,23.9,34.2,12.3,385,20.1,0.77,"Appear Adequate","Clumped",NA,"Mild",NA,NA,0.86,64.9,"Crenation","See Comments",NA,"2+",NA,NA,"Unremarkable",NA,NA,"None Observed","Hemolysis is present in this sample. Hemolysis can affect automated parameters related to RBCs and can distort the microscopic appearance of RBCs. Therefore, the automated data should be interpreted with slight caution in this case. Additionally, the RBC morphology could not be fully assessed in this sample. If clinically indicated, repeat CBC on a new sample is recommended. "
247,"precision_1","247-precision_1-CBC",5.72,0,0,3.03,2.12,0.34,0.23,0,0,0,0,53,37,6,4,0,0,6.35,15.5,45.6,NA,71.8,24.4,34,11.8,169,8.9,0.15,"Appear Adequate",NA,NA,NA,NA,NA,0.45,28.5,"Crenation",NA,NA,"2+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
247,"precision_2","247-precision_2-CBC",6.31,0,0,3.66,1.77,0.32,0.57,0,0,0,0,58,28,5,9,0,0,6.67,16,49.3,NA,73.9,24,32.5,11.8,228,8.9,0.2,"Appear Adequate",NA,NA,NA,NA,NA,0.64,43,"Crenation",NA,NA,"3+",NA,NA,"Dohle Bodies",NA,"1+","None Observed",NA
273,"precision_1","273-precision_1-CBC",5.37,0,0,3.01,1.45,0.27,0.64,0,0,0,0,56,27,5,12,0,0,6.68,16.7,49.8,NA,74.6,25,33.5,12.3,NA,12.7,0.27,"Appear Adequate","Clumped",NA,"Marked",NA,NA,0.79,52.5,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
273,"precision_2","273-precision_2-CBC",5.74,0,0,4.19,1.03,0.17,0.34,0,0,0,0,73,18,3,6,0,0,6.72,16.8,50.3,NA,74.9,25,33.4,12.2,NA,11.6,0.26,"Appear Adequate","Clumped",NA,"Moderate",NA,NA,0.62,42,"Crenation",NA,NA,"4+",NA,NA,"Unremarkable",NA,NA,"None Observed",NA
