"dog_id","Sample_Year","DAP_Sample_ID","krt_urine_col_meth","krt_urine_volume","krt_urine_transparency","krt_urine_sg","krt_urine_glucose","krt_urine_bilirubin","krt_urine_ketones","krt_urine_blood_hbg","krt_urine_ph","krt_urine_protien","krt_urine_wbc_hpf","krt_urine_rbc_hpf","krt_urine_squamous_hpf","krt_urine_urothelial_hpf","krt_urine_casts","krt_urine_casts_2","krt_urine_casts_3","krt_urine_casts_lpf","krt_urine_casts_lpf_2","krt_urine_casts_lpf_3","krt_urine_crystals","krt_urine_crystals_2","krt_urine_crystals_3","krt_urine_crystals_hpf","krt_urine_crystals_hpf_2","krt_urine_crystals_hpf_3","krt_urine_amorph_debris_hpf","krt_urine_bacteria","krt_urine_fat_hpf","krt_urine_color","krt_urine_test_comments"
43,"precision_1","43-precision_1-Urine","Voided","1-3 mL","Hazy","1.048","Negative","1+","Negative","Negative",7.5,"2+","orig 10-20 harm 10-10","orig Few harm 0-3","Rare","orig Few harm 0-3","None Observed",NA,NA,NA,NA,NA,"Struvite","Calcium Oxalate Dihydrate",NA,"Moderate","Few",NA,"Few","None Observed","Few","Dark Straw","Calcium oxalate dihydrate crystals can be clinically insignificant or an indication of calcium oxalate uroliths in cats and dogs. Formation of calcium oxalate uroliths is often considered idiopathic; however, hypercalcemia, increased dietary oxalates (spinach, nuts, etc.), acidic urine, and highly concentrated urine have been associated with crystal development. The presence of calcium oxalate crystals does not confirm the presence of uroliths; however, abdominal imaging may be warranted. The significance of the calcium oxalate crystals in this case should be determined with consideration of the full clinical history, presentation, and laboratory findings. "
43,"precision_2","43-precision_2-Urine","Free Catch","1-3 mL","Cloudy","1.043","Negative","1+","Negative","Negative",6,"1+","20-40","None Observed","3-6","0-3","Hyaline","Granular",NA,"Few","Few",NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Rare","Yellow",NA
43,"precision_3","43-precision_3-Urine","Free Catch",">3 mL","Flocculent","1.049","Negative","1+","Negative","Negative",7,"2+","3-6","None Observed","3-6","0-3","None Observed",NA,NA,NA,NA,NA,"Struvite",NA,NA,"Many",NA,NA,NA,NA,"Few","Yellow","Many spermatozoa seen/HPF. "
154,"precision_1","154-precision_1-Urine","Free Catch",">3 mL","Clear","1.023","Negative","1+","Negative","Negative",6.5,"1+","orig 0-5 harm 0-3","Rare","orig 0-5 harm 0-3","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Few","Straw","icto +"
154,"precision_2","154-precision_2-Urine","Cystocentesis",">3 mL","Cloudy","1.019","Negative","1+","Negative","Negative",6,"Trace","6-10","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"Rod Shaped Bacteria","Many","Yellow","Ictotest positive."
225,"precision_1","225-precision_1-Urine","Catheter",">3 mL","Slightly Hazy","1.051","Negative","1+","Negative","Negative",6,"Trace","0-3","None Observed","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Many","Yellow","Checked by CW"
225,"precision_2","225-precision_2-Urine","Catheter",">3 mL","Clear","1.037","Negative","Negative","Negative","Negative",6.5,"Trace","0-3","None Observed","0-3","None Observed","Hyaline",NA,NA,"Few",NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,NA,"Moderate","Yellow",NA
247,"precision_1","247-precision_1-Urine","Free Catch",">3 mL","Clear","1.026","Negative","Negative","Negative","Negative",6.5,"Negative","0-3","0-3","0-3","0-3","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"None Observed","Moderate","Pale Yellow",NA
247,"precision_2","247-precision_2-Urine","Free Catch",">3 mL","Slightly Hazy","1.019","Negative","Negative","Negative","1+",6.5,"Negative","Too Numerous to Count","10-20","3-6","3-6","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,NA,"Cocci","Few","Straw",NA
273,"precision_1","273-precision_1-Urine","Free Catch",">3 mL","Clear","1.020","Negative","Negative","Negative","Negative",6,"Negative","Rare","None Observed","None Observed","None Observed","None Observed",NA,NA,NA,NA,NA,"None Observed",NA,NA,NA,NA,NA,"None Observed","None Observed","None Observed","Straw",NA
