dog	code	pop	pct
100014	32	Belgian Malinois	0.0156
100014	114	German Shepherd Dog	0.9268
100014	158	Leonberger	0.0122
100030	212	Rhodesian Ridgeback	0.9988
100033	81	Cocker Spaniel	0.0177
100033	11	American Pitbull Terrier	0.0184
100033	33	Belgian Sheepdog	0.01
100033	74	Chihuahua	0.4567
100033	87	Dachshund	0.031
100033	154	Lagotto Romagnolo	0.0217
100033	185	Pekingese	0.1041
100033	194	Pomeranian	0.0106
100033	204	Pug	0.0135
100033	246	Standard Schnauzer	0.0105
100033	196	Poodle (Toy)	0.1467
100033	276	Yorkshire Terrier	0.0756
100035	11	American Pitbull Terrier	0.2661
100035	74	Chihuahua	0.0113
100035	87	Dachshund	0.0158
100035	276	Yorkshire Terrier	0.0103
100035	16	Australian Cattle Dog	0.2206
100035	18	Australian Shepherd	0.0102
100035	25	Basset Hound	0.0135
100035	27	Beagle	0.082
100035	42	Bloodhound	0.0177
100035	46	Border Collie	0.0165
100035	51	Boxer	0.0164
100035	82	Collie	0.0127
100035	61	Bulldog	0.0114
100035	115	German Shorthaired Pointer	0.0146
100035	120	Golden Retriever	0.0127
100035	140	Italian Greyhound	0.0121
100035	141	Jack Russell Terrier	0.0105
100035	153	Labrador Retriever	0.033
100035	177	Norwegian Elkhound	0.0201
100035	181	Old English Sheepdog	0.0101
100044	61	Bulldog	0.9989
100048	158	Leonberger	0.9987
100069	230	Siberian Husky	0.9989
10008	51	Boxer	0.0114
10008	153	Labrador Retriever	0.886
10008	173	Newfoundland	0.0216
100087	120	Golden Retriever	0.9988
100097	81	Cocker Spaniel	0.0326
100097	11	American Pitbull Terrier	0.0151
100097	196	Poodle (Toy)	0.0107
100097	18	Australian Shepherd	0.011
100097	120	Golden Retriever	0.0156
100097	153	Labrador Retriever	0.6399
100097	230	Siberian Husky	0.0538
100097	5	Alaskan Malamute	0.0305
100097	78	Chow Chow	0.0348
100097	226	Shetland Sheepdog	0.0425
100101	230	Siberian Husky	0.9743
100103	3	Airedale Terrier	0.0126
100103	81	Cocker Spaniel	0.0225
100103	11	American Pitbull Terrier	0.1412
100103	18	Australian Shepherd	0.0356
100103	25	Basset Hound	0.0197
100103	51	Boxer	0.0177
100103	78	Chow Chow	0.1591
100103	61	Bulldog	0.0534
100103	280	English Shepherd	0.015
100103	114	German Shepherd Dog	0.0699
100103	120	Golden Retriever	0.0232
100103	153	Labrador Retriever	0.1604
100103	183	Papillon	0.0201
100103	194	Pomeranian	0.0272
100103	212	Rhodesian Ridgeback	0.0126
100103	214	Rottweiler	0.0377
100103	243	St. Bernard	0.0121
100103	230	Siberian Husky	0.0167
100119	120	Golden Retriever	0.9989
100126	37	Bernese Mountain Dog	0.5096
100126	195	Poodle	0.4892
100133	276	Yorkshire Terrier	0.9989
100134	120	Golden Retriever	0.9989
100146	120	Golden Retriever	0.9988
100148	81	Cocker Spaniel	0.2628
100148	70	Cavalier King Charles Spaniel	0.2643
100148	196	Poodle (Toy)	0.4718
10015	81	Cocker Spaniel	0.0112
10015	11	American Pitbull Terrier	0.0361
10015	16	Australian Cattle Dog	0.182
10015	18	Australian Shepherd	0.0575
10015	46	Border Collie	0.1728
10015	74	Chihuahua	0.0166
10015	82	Collie	0.0186
10015	92	Doberman Pinscher	0.0109
10015	114	German Shepherd Dog	0.1475
10015	124	Great Pyrenees	0.0283
10015	202	Portuguese Water Dog	0.0167
10015	230	Siberian Husky	0.1726
10015	253	Tibetan Mastiff	0.0197
100174	32	Belgian Malinois	0.0273
100174	114	German Shepherd Dog	0.07
100174	158	Leonberger	0.0112
100174	11	American Pitbull Terrier	0.0737
100174	87	Dachshund	0.0226
100174	194	Pomeranian	0.101
100174	204	Pug	0.0148
100174	246	Standard Schnauzer	0.0153
100174	196	Poodle (Toy)	0.031
100174	276	Yorkshire Terrier	0.0107
100174	18	Australian Shepherd	0.0346
100174	51	Boxer	0.0333
100174	115	German Shorthaired Pointer	0.0182
100174	140	Italian Greyhound	0.0125
100174	230	Siberian Husky	0.0174
100174	124	Great Pyrenees	0.0104
100174	62	Bullmastiff	0.0136
100174	75	Chinese Crested	0.0184
100174	98	English Cocker Spaniel	0.0179
100174	280	English Shepherd	0.0115
100174	103	Entlebucher Mountain Dog	0.0132
100174	161	Maltese	0.0103
100174	186	Pembroke Welsh Corgi	0.0123
100174	214	Rottweiler	0.1777
100174	243	St. Bernard	0.0154
100174	219	Samoyed	0.0115
100174	262	Village Dog	0.0566
100189	158	Leonberger	0.015
100189	81	Cocker Spaniel	0.0795
100189	11	American Pitbull Terrier	0.0819
100189	16	Australian Cattle Dog	0.0696
100189	27	Beagle	0.094
100189	46	Border Collie	0.0376
100189	60	Bull Terrier	0.0124
100189	78	Chow Chow	0.0176
100189	87	Dachshund	0.0175
100189	92	Doberman Pinscher	0.0951
100189	280	English Shepherd	0.0241
100189	101	English Springer Spaniel	0.0132
100189	120	Golden Retriever	0.0223
100189	124	Great Pyrenees	0.1401
100189	141	Jack Russell Terrier	0.0579
100189	153	Labrador Retriever	0.0685
100189	212	Rhodesian Ridgeback	0.0172
100189	262	Village Dog	0.0324
100193	120	Golden Retriever	0.5125
100193	153	Labrador Retriever	0.4864
100224	3	Airedale Terrier	0.0102
100224	11	American Pitbull Terrier	0.0505
100224	25	Basset Hound	0.0714
100224	27	Beagle	0.3261
100224	42	Bloodhound	0.0674
100224	46	Border Collie	0.0195
100224	49	Boston Terrier	0.0108
100224	50	Bouvier des Flandres	0.0108
100224	51	Boxer	0.0125
100224	87	Dachshund	0.048
100224	92	Doberman Pinscher	0.0103
100224	101	English Springer Spaniel	0.0187
100224	115	German Shorthaired Pointer	0.0256
100224	121	Gordon Setter	0.0108
100224	123	Great Dane	0.0112
100224	126	Greyhound	0.0146
100224	153	Labrador Retriever	0.013
100224	154	Lagotto Romagnolo	0.0144
100224	158	Leonberger	0.0113
100224	180	Nova Scotia Duck Tolling Retriever	0.0105
100224	181	Old English Sheepdog	0.0232
100224	186	Pembroke Welsh Corgi	0.0116
100224	195	Poodle	0.0182
100224	264	Weimaraner	0.0228
100224	276	Yorkshire Terrier	0.0284
100228	81	Cocker Spaniel	0.0235
100228	11	American Pitbull Terrier	0.0251
100228	74	Chihuahua	0.4811
100228	87	Dachshund	0.0609
100228	154	Lagotto Romagnolo	0.0208
100228	204	Pug	0.019
100228	246	Standard Schnauzer	0.012
100228	196	Poodle (Toy)	0.0318
100228	276	Yorkshire Terrier	0.0267
100228	27	Beagle	0.0222
100228	61	Bulldog	0.0138
100228	202	Portuguese Water Dog	0.0163
100228	167	Miniature Pinscher	0.1032
100228	168	Miniature Schnauzer	0.0235
100228	228	Shih Tzu	0.0732
100237	114	German Shepherd Dog	0.017
100237	11	American Pitbull Terrier	0.0758
100237	74	Chihuahua	0.2055
100237	87	Dachshund	0.0111
100237	194	Pomeranian	0.0341
100237	246	Standard Schnauzer	0.0108
100237	276	Yorkshire Terrier	0.0183
100237	18	Australian Shepherd	0.2366
100237	27	Beagle	0.0171
100237	46	Border Collie	0.0553
100237	82	Collie	0.0182
100237	120	Golden Retriever	0.0156
100237	153	Labrador Retriever	0.0648
100237	202	Portuguese Water Dog	0.0217
100237	219	Samoyed	0.0139
100237	228	Shih Tzu	0.0351
100237	50	Bouvier des Flandres	0.0106
100237	180	Nova Scotia Duck Tolling Retriever	0.0157
100237	195	Poodle	0.0166
100237	239	Soft Coated Wheaten Terrier	0.0109
100242	158	Leonberger	0.0132
100242	74	Chihuahua	0.1338
100242	87	Dachshund	0.1201
100242	196	Poodle (Toy)	0.1216
100242	276	Yorkshire Terrier	0.0629
100242	16	Australian Cattle Dog	0.4353
100242	27	Beagle	0.032
100242	115	German Shorthaired Pointer	0.0158
100251	120	Golden Retriever	0.9989
100262	114	German Shepherd Dog	0.0106
100262	158	Leonberger	0.013
100262	81	Cocker Spaniel	0.0157
100262	11	American Pitbull Terrier	0.1327
100262	74	Chihuahua	0.1767
100262	87	Dachshund	0.0617
100262	154	Lagotto Romagnolo	0.0169
100262	185	Pekingese	0.0238
100262	196	Poodle (Toy)	0.167
100262	276	Yorkshire Terrier	0.0351
100262	16	Australian Cattle Dog	0.0144
100262	27	Beagle	0.0342
100262	153	Labrador Retriever	0.019
100262	78	Chow Chow	0.0171
