"dog_id","survey_year","mm_jr_date","mm_jr_location","mm_jr_location_description","mm_jr_number_practice_jog_trials","mm_jr_jog_trial_1_outcome","mm_jr_jog_trial_1_time_seconds","mm_jr_jog_trial_1_problems","mm_jr_jog_trial_2_outcome","mm_jr_jog_trial_2_time_seconds","mm_jr_jog_trial_2_problems","mm_jr_jog_trial_3_outcome","mm_jr_jog_trial_3_time_seconds","mm_jr_jog_trial_3_problems","mm_jr_jog_trials_motivation_treat","mm_jr_jog_trials_motivation_toy","mm_jr_jog_trials_motivation_verbal","mm_jr_jog_trials_motivation_clapping","mm_jr_jog_trials_motivation_none","mm_jr_jog_trials_motivation_other","mm_jr_jog_trials_motivation_other_description","mm_jr_number_practice_run_trials","mm_jr_run_trial_1_outcome","mm_jr_run_trial_1_time_seconds","mm_jr_run_trial_1_problems","mm_jr_run_trial_2_outcome","mm_jr_run_trial_2_time_seconds","mm_jr_run_trial_2_problems","mm_jr_run_trial_3_outcome","mm_jr_run_trial_3_time_seconds","mm_jr_run_trial_3_problems","mm_jr_run_trials_motivation_treat","mm_jr_run_trials_motivation_toy","mm_jr_run_trials_motivation_verbal","mm_jr_run_trials_motivation_clapping","mm_jr_run_trials_motivation_none","mm_jr_run_trials_motivation_other","mm_jr_run_trials_motivation_other_description"
27,"annual_2022","2022-06-25",1,"Inside my house on a rug",4,1,"4.27",NA,1,"4.41",NA,1,"4.38",NA,0,0,0,0,1,0,NA,3,1,"2.06",NA,1,"1.99",NA,1,"1.82",NA,1,0,0,1,0,0,NA
27,"annual_2023","2023-05-12",1,"Inside my house",2,1,"4.79",NA,1,"4.75",NA,1,"5.21",NA,0,0,0,0,1,0,NA,1,1,"2.24",NA,1,"1.91",NA,1,"2.04",NA,0,0,1,0,0,0,NA
33,"annual_2022","2022-06-28",1,"smooth concrete sidewalk in front of house",1,1,"7.87",NA,1,"8.05",NA,1,"8.16",NA,0,0,1,0,0,0,NA,3,1,"3.87",NA,1,"3.90",NA,1,"3.82",NA,1,1,1,0,0,0,NA
71,"annual_2022","2022-07-02",0,"Sidewalk area in small downtown, concrete",4,1,"3.50",NA,1,"3.01",NA,1,"3.24",NA,1,0,0,0,0,0,NA,2,1,"1.59",NA,1,"1.29",NA,1,"1.16",NA,1,0,0,0,0,0,NA
93,"annual_2022","2022-06-14",0,"In my Yard on grass.",3,1,"3.48",NA,1,"3.19",NA,1,"3.06",NA,1,0,0,0,0,0,NA,3,1,"2.00",NA,1,"2.02",NA,1,"2.03",NA,1,0,1,0,0,0,NA
97,"annual_2022","2022-06-21",0,"Grass in agility field - east side from angled pole 10m north",2,1,"5.53",NA,1,"5.51",NA,1,"5.42",NA,0,0,1,0,0,0,NA,1,1,"1.58",NA,1,"1.53",NA,1,"1.52",NA,0,0,1,0,0,0,NA
137,"annual_2022","2022-07-02",0,"tennis court in home",4,1,"4.90",NA,1,"4.58",NA,1,"4.85",NA,1,0,1,0,0,0,NA,2,1,"1.67",NA,1,"1.69",NA,1,"1.59",NA,1,0,1,0,0,0,NA
213,"annual_2022","2022-07-17",1,"The course is located at a park next door to a family member's house. We visit this park once a month. The course is on rubber turf and sidewalk.",3,1,"3.09",NA,1,"3.17",NA,1,"2.84",NA,1,0,1,0,0,0,NA,3,1,"2.46",NA,1,"2.26",NA,1,"3.38",NA,1,0,1,0,0,0,NA
225,"annual_2022","2022-07-17",0,"Inside my house from a bedroom through the living room. Laminated wood & a shag rug.",3,1,"3.41",NA,1,"3.88",NA,1,"3.36",NA,1,0,0,0,0,0,NA,3,1,"2.96",NA,1,"2.95",NA,1,"2.43",NA,1,0,0,0,0,0,NA
249,"annual_2022","2022-07-10",1,"my back yard, grass, level but uneven footing",3,1,"3.55",NA,1,"3.65",NA,1,"3.75",NA,0,0,0,0,1,0,NA,3,1,"1.42",NA,1,"1.34",NA,1,"1.20",NA,0,0,0,0,0,1,"I called my dog to come and started running away."
