"dog_id","survey_year","mm_sc_date","mm_sc_stairs_used_previously","mm_sc_loc_y","mm_sc_stairs_used_description","mm_sc_stair_height_cm","mm_sc_stair_count","mm_sc_number_practice_trials","mc_sc_trial_1_outcome","mm_sc_trial_1_time_seconds","mm_sc_trial_1_problems","mm_sc_trial_2_outcome","mm_sc_trial_2_time_seconds","mm_sc_trial_2_problems","mm_sc_trial_3_outcome","mm_sc_trial_3_time_seconds","mm_sc_trial_3_problems","mm_sc_trials_motivation_treat","mm_sc_trials_motivation_toy","mm_sc_trials_motivation_verbal","mm_sc_trials_motivation_clapping","mm_sc_trials_motivation_none","mm_sc_trials_motivation_other","mm_sc_trials_motivation_other_description"
27,"annual_2022","2022-06-25",1,0,"Inside my house, wood",18.5,12,4,1,"1.44",NA,1,"1.68",NA,1,"1.66",NA,1,0,0,1,0,0,NA
27,"annual_2023","2023-05-12",1,0,"In my house",18.5,12,3,1,"1.6",NA,1,"1.82",NA,1,"1.55",NA,1,0,0,0,0,0,NA
33,"annual_2022","2022-06-28",1,0,"carpeted stairs from basement to main level in my  house in West Linn.",20,14,1,1,"3.55",NA,1,"3.55",NA,1,"3.64",NA,1,1,1,0,0,0,NA
43,"annual_2022","2022-07-08",0,NA,"Stairs are inside my house and are carpeted.  Otis uses these stairs regularly.",22,12,4,1,"1.79",NA,1,"1.72",NA,1,"1.53",NA,0,1,1,0,0,0,NA
71,"annual_2022","2022-07-02",0,NA,"Stairs up to the front of a church, concrete.  First landing was after 10 steps.",16.5,10,2,1,"0.90",NA,1,"1.20",NA,1,"1.02",NA,1,0,0,0,0,0,NA
93,"annual_2022","2022-06-14",0,NA,"Inside my house.  Carpeted.",19,8,4,1,"0.79",NA,1,"1.04",NA,1,"1.14",NA,1,0,0,0,0,0,NA
93,"annual_2023","2023-05-23",1,0,"Inside my house, carpeted stairs",18,8,1,1,"0.84",NA,1,"0.74",NA,1,"0.79",NA,1,0,1,0,0,0,NA
213,"annual_2022","2022-07-16",1,0,"The set of stairs is located in a family member's home and is wood flooring. Chewy visits this home on average once a month.",19.5,10,4,1,"3.14",NA,1,"2.79",NA,1,"3.51",NA,1,0,1,0,0,0,NA
225,"annual_2022","2022-07-17",0,NA,"Inside the house but outside the apartment. Laminated wood.",19.5,11,2,1,"3.55",NA,1,"4.13",NA,1,"4.16",NA,1,0,1,0,0,0,NA
249,"annual_2022","2022-07-10",1,1,"carpeted stairs to second floor in my house",21.5,13,3,1,"1.15",NA,1,"1.19",NA,1,"1.41",NA,1,0,0,0,0,0,NA
249,"annual_2023","2023-05-17",1,0,"inside my house; carpeted",21.5,13,3,1,"1.60",NA,1,"1.60",NA,1,"1.54",NA,1,0,1,0,0,0,NA
294,"annual_2023","2023-04-14",1,0,"Inside my house; carpet.",19.5,9,2,1,"2.01",NA,1,"2.26",NA,1,"2.68",NA,0,1,0,0,0,0,NA
309,"annual_2023","2023-04-11",1,0,"Outside my house leading to backyard.",18,8,1,1,"1.75",NA,1,"2.22",NA,1,"1.87",NA,1,0,0,0,0,0,NA
438,"annual_2022","2022-06-29",1,0,"In my house  Carpeted",19,12,2,1,"3.73",NA,1,"3.14",NA,1,"3.58",NA,1,0,1,1,0,0,NA
469,"annual_2022","2022-07-11",1,0,"airplane hanger  wood steps",20.5,13,1,1,"1.98",NA,1,"2.26",NA,1,"1.78",NA,1,0,1,0,0,0,NA
487,"annual_2022","2022-07-10",0,NA,"Stairs are the entrance to our neighborhood park; wooden frame gravel-filled steps, somewhat irregular in surface",15,26,1,1,"4.58",NA,1,"4.99",NA,0,NA,"She stumbled on the 10th step, which I belatedly noticed was missing significant gravel fill on one side; she continued but slowed  to 6.55. Now I wonder if 26 stairs were too many.",1,0,1,0,0,0,NA
508,"annual_2022","2022-07-03",0,NA,"From basement to laundry room; carpeted",18,13,4,1,"1.39",NA,1,"1.34",NA,1,"1.35",NA,0,0,1,0,0,0,NA
560,"annual_2022","2022-06-25",0,NA,"Cellar steps- concrete",20,12,1,1,"4.41",NA,1,"2.93",NA,1,"4.47",NA,1,0,0,0,0,0,NA
579,"annual_2023","2023-06-05",1,0,"Inside my house",20,13,5,1,"1.93",NA,1,"3",NA,1,"3.45",NA,1,0,1,0,0,0,NA
695,"annual_2022","2022-07-19",0,NA,"Standard set of outdoor entry stairs up to the back porch of the house.",18.5,7,1,1,"3.03",NA,1,"2.33",NA,1,"2.47",NA,1,0,0,0,0,0,NA
695,"annual_2023","2023-05-10",1,1,"We installed non-skid strips on each step.",18.5,7,2,1,"5.44",NA,1,"3.66",NA,1,"4.01",NA,1,0,0,0,0,0,NA
713,"annual_2022","2022-07-03",1,0,"Outside, wood stairs to the house",18,12,1,1,"4.87",NA,1,"4.65",NA,1,"5.02",NA,1,0,0,0,0,0,NA
