"dog_id","Sample_Year","DAP_Sample_ID","krt_cp_total_protein_value","krt_cp_total_protein_modifier","krt_cp_albumin_value","krt_cp_albumin_modifier","krt_cp_globulins_value","krt_cp_globulins_modifier","krt_cp_alb_glob_ratio_value","krt_cp_alb_glob_ratio_modifier","krt_cp_calcium_value","krt_cp_calcium_modifier","krt_cp_phosphorus_value","krt_cp_phosphorus_modifier","krt_cp_magnesium_value","krt_cp_magnesium_modifier","krt_cp_glucose_value","krt_cp_glucose_modifier","krt_cp_bun_value","krt_cp_bun_modifier","krt_cp_creatinine_value","krt_cp_creatinine_modifier","krt_cp_bilirubin_total_value","krt_cp_bilirubin_total_modifier","krt_cp_alkp_value","krt_cp_alkp_modifier","krt_cp_alt_value","krt_cp_alt_modifier","krt_cp_ggt_value","krt_cp_ggt_modifier","krt_cp_amylase_value","krt_cp_amylase_modifier","krt_cp_triglycerides_value","krt_cp_triglycerides_modifier","krt_cp_cholesterol_value","krt_cp_cholesterol_modifier","krt_cp_sodium_value","krt_cp_sodium_modifier","krt_cp_potassium_value","krt_cp_potassium_modifier","krt_cp_chloride_value","krt_cp_chloride_modifier","krt_cp_sp_ratio_value","krt_cp_sp_ratio_modifier","krt_cp_test_comments"
43,"precision_1","43-precision_1-ChemPanel",6.1,NA,3.3,NA,2.8,NA,1.2,NA,9.8,NA,3.5,NA,1.5,NA,102,NA,19,NA,0.7,NA,0.2,NA,40,NA,99,NA,4,NA,518,NA,40,NA,251,NA,146,NA,4.1,NA,105,NA,35.6,NA,NA
43,"precision_2","43-precision_2-ChemPanel",6.1,NA,3.1,NA,3,NA,1,NA,9.5,NA,4.7,NA,1.4,NA,106,NA,21,NA,0.7,NA,0.2,NA,63,NA,172,NA,3,NA,435,NA,41,NA,244,NA,146,NA,4.3,NA,107,NA,34,NA,"1+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
43,"precision_3","43-precision_3-ChemPanel",6.1,NA,3.1,NA,3,NA,1,NA,9.6,NA,3.3,NA,1.5,NA,117,NA,18,NA,0.74,NA,0.2,NA,47,NA,137,NA,5,NA,768,NA,45,NA,262,NA,147,NA,4.4,NA,108,NA,33.4,NA,NA
154,"precision_1","154-precision_1-ChemPanel",5.9,NA,2.9,NA,3,NA,1,NA,9.8,NA,3.8,NA,1.7,NA,112,NA,19,NA,1.5,NA,0.2,NA,25,NA,37,NA,5,NA,845,NA,62,NA,176,NA,151,NA,4.1,NA,114,NA,36.8,NA,NA
154,"precision_2","154-precision_2-ChemPanel",4.9,NA,2.4,NA,2.5,NA,1,NA,8.6,NA,3.4,NA,1.7,NA,107,NA,12,NA,1.1,NA,0.2,NA,20,NA,29,NA,3,"<",1152,NA,54,NA,149,NA,151,NA,4.6,NA,115,NA,32.8,NA,NA
225,"precision_1","225-precision_1-ChemPanel",6.3,NA,3.4,NA,2.9,NA,1.2,NA,10.2,NA,2.1,NA,2.2,NA,99,NA,17,NA,0.9,NA,0.2,NA,24,NA,61,NA,3,"<",514,NA,61,NA,184,NA,148,NA,4.3,NA,112,NA,34.4,NA,NA
225,"precision_2","225-precision_2-ChemPanel",6,NA,3.4,NA,2.6,NA,1.3,NA,7.5,NA,3.5,NA,1.9,NA,53,NA,19,NA,0.8,NA,0.2,NA,23,NA,68,NA,3,"<",443,NA,321,NA,216,NA,148,NA,4.8,NA,109,NA,30.8,NA,"Calcium result verified by repeat analysis. Submitted on red cells, therefore some results could be falsely high (total protein, phosphorus, AST, ALT, potassium) and others could be falsely low (glucose). Correlate with time between specimen collection and submission as well as the full clinical history.1+ lipemia is reported. No known interferences.2+ hemolysis is reported and may falsely increase phosphorus, AST, and K results."
247,"precision_1","247-precision_1-ChemPanel",5.7,NA,3.3,NA,2.4,NA,1.4,NA,9.6,NA,3.8,NA,1.9,NA,100,NA,15,NA,1.1,NA,0.2,NA,29,NA,36,NA,3,"<",542,NA,47,NA,165,NA,149,NA,4,NA,114,NA,37.3,NA,NA
247,"precision_2","247-precision_2-ChemPanel",5.8,NA,3.3,NA,2.5,NA,1.3,NA,9.6,NA,4.4,NA,1.6,NA,95,NA,14,NA,1.11,NA,0.2,NA,26,NA,33,NA,3,"<",498,NA,51,NA,172,NA,147,NA,4.3,NA,114,NA,34.2,NA,NA
273,"precision_1","273-precision_1-ChemPanel",5.8,NA,3.1,NA,2.7,NA,1.1,NA,9.2,NA,3.5,NA,1.7,NA,99,NA,15,NA,1.4,NA,0.3,NA,23,NA,29,NA,5,NA,581,NA,55,NA,296,NA,145,NA,4.9,NA,112,NA,29.6,NA,NA
