COMPOUND,HMDB ID,KEGG ID,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,69,70,71,72,73,74,75,76,77,78,79,80
Trimethylamine (TMA),HMDB00906,C00565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,HMDB00149,C00189,68289,55070,97339,51163,58656,101218,117069,78460,43015,62486,120056,105596,129563,55842,86870,72927,104774,83788,63522,100404,89912,72023,81014,62741,62548,56696,76494,68174,78402,73952,82964,68570,50812,68998,115555,79937,65448,66139,46795,48796,67200,47514,60683,71158,62937,59883,56895,46090,66845,40285,33814,77873,49490,63963,52718,66093,60939,45726,68419,63274,73264,104792,43383,70459,74805,51265,102228,72673,63809,50997,54839,60007,61824,46613,51227,47620,63655
Aminoacetone,HMDB02134,C01888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,HMDB01522,C02294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,HMDB00123,C00037,332041,336983,627688,269051,261296,349653,400841,310517,548075,380278,402792,471083,526149,350974,500123,331102,364246,400421,330251,511541,418757,353529,303761,316004,237192,356413,328679,391831,407279,316224,303955,192011,223946,343406,383094,437773,447725,418481,204998,311622,297365,219216,488432,281586,373037,226464,187355,265853,350145,273848,259599,263902,320442,334159,238745,306142,232396,192624,378693,337911,371374,336666,255424,272789,375807,267067,338874,315019,263085,357188,283247,279900,388052,344383,432732,314971,309099
Trimethylamine-N-Oxide (TMAO),HMDB00925,C01104,605194,3289444,1218004,236796,1695994,1010741,972980,322031,641944,272371,757051,1966563,577914,379938,2996389,713179,398108,1488166,2179430,438280,218120,2444439,420536,557859,514428,3050047,510302,445397,862368,640198,2226908,1179521,888980,411436,362958,218388,280057,451000,518196,728098,418525,539322,554669,954856,286909,816776,643653,401855,1134758,479399,399736,378424,691057,2311792,735805,898077,1317059,230339,585761,854095,555008,361146,2007905,1237863,650017,1378463,511238,311766,1097860,371245,708909,903549,801068,485902,544405,276319,442003
Putrescine,HMDB01414,C00134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betaAlanine,HMDB00056,C00099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alanine,HMDB00161,C00041,7362578,6120535,10689729,4847688,5904342,7863791,7332566,7213183,6636947,4880145,7042521,8734112,7660943,6402116,5738346,5812974,6387152,7831865,6117599,6379523,5050697,8052187,5668718,4330690,5215191,10177197,8253873,7257199,8625689,6148625,6239014,3264226,5807827,6974264,8133998,6666670,4621868,6764936,5886279,5480044,5427778,4461448,4971605,5201826,4805563,6500478,4302296,4292334,3756849,8410816,5991446,5696564,4387253,4751208,5073474,6904631,5035652,3420273,6491716,4090205,6653100,8050494,6638379,5234099,7863425,6753635,6001398,5214287,5637916,5500455,6444741,4854004,5864480,5352184,6599617,5242192,3481544
