COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(S)1,QC(S)2,QC(S)3,QC(S)4,QC(S)5,QC(S)6,QC(S)7,QC(S)8,QC(S)9
Trimethylamine (TMA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,127793,129197,132968,125222,106213,119376,113820,119375,106895,70751,70010,71170,75113,68865,65037,67361,64107,63165
Aminoacetone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,565763,561265,558837,541834,565298,532164,529323,520588,564315,298080,307891,319945,327422,304886,302190,297208,297953,307368
Trimethylamine-N-Oxide (TMAO),981199,987834,984418,1005395,964588,959778,889344,930816,894587,535998,560204,533537,551046,527140,505449,527875,512745,515803
Putrescine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betaAlanine,93014,101195,107628,94260,105967,81978,102368,92756,90782,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alanine,7420245,7333742,7450835,7120807,7098329,7083078,6816672,6830958,6844511,6534486,6679173,6563310,6560392,6093386,6129652,6118575,6138818,6162920
Sarcosine,32098,29386,33942,30808,31785,28209,28392,29034,32259,61050,60273,63894,56312,62390,63710,62208,56135,61822
Betaine Aldehyde,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cadaverine,151648,143481,144833,143991,143936,149134,140398,149214,135603,141083,134901,126580,141930,138165,122737,124808,122019,140961
3-Aminoisobutyrate,39391,39224,40574,38738,35299,39042,38154,35388,34449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Choline,48000410,47897352,46908140,45162530,43611208,43949745,43425762,43003535,43100441,11121708,11124372,10691084,10663664,10197827,10139946,9973718,10290643,9796274
Dimethylglycine,188593,189018,180030,177929,174262,167450,182626,185719,188020,238771,236405,246521,220663,248173,231455,238523,225398,217451
L-2-Aminobutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Aminoisobutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Serine,8615492,8565666,8265765,8176783,8085166,8139018,8206623,7713970,7756719,4345559,4121014,4301760,4248695,4172266,4093781,3825882,3957043,3872206
Hypotaurine,76720,103867,83980,93635,81453,83068,75125,77921,81505,8862,9042,7901,7715,9808,9404,8687,7877,7522
Cytosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Histamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Creatinine,11951349,11883781,11611645,11501400,11111510,10894386,10832617,10673102,10608001,16854995,16751051,16656872,16661770,15927510,15924123,15918903,15689180,15704890
"5,6-Dihydrouracil",1187495,1237708,1167245,1153087,1128812,1109310,1089568,1133207,1143538,283299,264582,281615,267919,226936,244459,263525,242348,272704
Proline,9041850,8746429,8679439,8639836,7788161,8121055,8026810,8323229,7980748,5351395,5245735,5092473,5034967,4895018,4977069,4676016,4656261,4559161
5-Aminovaleric Acid,129222,120711,112354,114024,106735,122232,128068,123127,104492,283993,287688,280622,289276,252068,246982,275149,247054,279685
Betaine,88851808,90015051,83095093,85625153,83277875,81151229,80816516,82318192,83357693,175758033,178139159,163319046,169793366,165254533,161952168,160645447,160972527,162026158
Valine,5634244,5353483,5351676,5224789,5130870,5191361,4591593,4944611,4903851,2704253,2633110,2621151,2435730,2504404,2362578,2349376,2347222,2353756
Indole,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Threonine,8214930,8009726,8089131,7836565,7693000,7660787,7615849,7301663,7199488,12124906,12230307,12178520,12004485,11231904,11327913,10957352,10540614,11073082
Cysteine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Niacinamide,129325,124152,131339,128131,132717,132564,118739,124193,113347,251120,257353,245684,243677,246347,258787,233351,245346,250750
Taurine,3131499,3275166,3145499,3208705,3083540,3100222,3070388,2878683,3007940,1164874,1172960,1200850,1218460,1191228,1108910,1167938,1138611,1106869
1-Methylhistamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Imidazoleacetic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
