COMPOUND,HMDB ID,KEGG ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320
Trimethylamine (TMA),HMDB00906,C00565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,HMDB00149,C00189,246325,224697,236246,208468,220505,287350,102183,167565,182255,159394,169411,140035,193560,111546,107013,221118,123870,129684,199805,143945,75512,209739,147936,157024,105351,135992,123636,162906,114056,194112,191128,162026,117370,196617,161364,145102,166293,169152,160756,140368,111334,216842,182602,171541,135928,138993,127264,129570,106773,96542,122876,82557,96983,147349,136002,119423,99650,116591,110619,124155,70616,136037,109467,122429,112669,80068,154209,99464,115767,81323,97460,151270,106991,100143,92757,87057,108096,106379,141034,68400,122475,92106,169340,108946,91905,105309,144652,147972,76881,80278,110844,82263,134243,108989,108760,150666,109534,92768,95500,78654,142017,108752,124046,108473,128251,47806,78780,173909,148044,88922,81451,83694,115621,98852,79907,77740,125119,122800,69537,148628,70417,139035,77152,41511,86812,107739,89530,105650,139394,95777,84629,56301,118383,128853,109339,121250,90885,130918,112519,243621,89175,107068,175636,134069,127010,82739,120626,100374,124386,161787,75016,145006,82609,89316,92963,74248,95451,119326,110837,69977,77796,68838,175945,110370,85690,85288,80338,116610,70936,145584,86496,83208,101116,73390,83163,100355,98379,76871,86706,99081,59094,99827,117148,128773,109119,121980,99063,146369,79239,118088,62388,147459,45181,91731,117982,109003,125757,67129,132373,100407,71904,40321,112050,172487,125423,92655,167944,121169,109826,85934,80903,72985,92600,133526,67010,107271,117325,N/A,140618,108343,72150,87160,67999,134589,71650,66189,79659,95500,100020,42894,107787,105799,83977,81901,100873,141235,114987,79124,83528,139135,66472,129174,96542,95109,108769,84084,140414,81561,114711,77220,95795,85954,100817,79688,110634,70794,91366,99270,65155,128134,61019,65889,107644,124149,60335,74011,93336,93963,106881,81143,68757,77619,65858,88622,119792,88056,78621,68188,99350,116701,72035,80050,74178,89707,83817,76813,77218,53160,76073,91709,145265,76039,135113,58754,102803,47155,71735,48315,90184,80507,71897,79453,83156,62268,115783,72572,81463,72290,75455,81230,83467,52922,54432,67007,65758,51987,97449,82596,70233,108195
Aminoacetone,HMDB02134,C01888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,HMDB01522,C02294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,HMDB00123,C00037,466007,703824,621432,769140,594454,841242,486864,600681,581234,667630,839238,841891,656388,342675,458292,602881,515070,466642,741110,474757,418507,707951,479190,511401,499763,769924,548792,552753,444534,507304,640738,507160,567541,557416,607411,597130,550475,637296,632100,639097,532769,1050933,702303,591395,660199,397188,602916,548829,455759,671750,701162,374840,558644,672707,730532,725159,462633,517016,807971,626432,443944,663886,578905,547870,482224,423437,526802,354049,555374,412817,605219,643455,601198,451628,392836,503312,532335,959444,530598,523221,652695,515545,636331,778027,725860,663675,659555,526128,321127,472276,669991,605587,610865,423824,755090,554877,448312,489672,616307,498852,671485,426792,643361,517457,790721,571562,507650,793338,771620,737636,483717,362845,690126,620019,454721,816278,506358,464022,362708,575008,370437,574855,748287,372453,471771,538910,619854,553019,608858,593140,459177,631146,596782,611231,685291,590521,370186,420832,361553,712943,510417,526832,731279,1001056,497391,452849,959702,553919,650988,662932,355402,585055,401978,768084,571774,434280,833137,606723,764786,504194,827285,703370,588082,460390,1030917,605490,478858,413051,683709,837133,491869,480308,481143,544106,346819,610865,594820,584811,436861,562390,512285,512970,615237,641418,691210,1057371,528430,605595,661734,415075,394624,761213,383962,554920,700133,716932,532866,315685,766111,902386,440940,681129,761554,606014,497046,576688,433676,542405,670581,427730,621034,504697,496424,588590,495294,531910,472536,661199,737680,764595,301515,570359,464202,688110,475123,447876,570562,561769,819772,574526,609234,464429,484280,585240,694070,651468,487046,447711,335560,813675,428207,899476,464216,409898,502879,453337,423364,487871,627269,438224,427314,580609,575021,825197,524325,653071,1328131,597333,456895,564443,284304,323301,660236,493923,349800,610818,635358,600293,785644,468208,369346,500897,645821,488105,940078,333067,650898,613342,487369,467405,457547,368578,590376,330088,602084,483671,532910,492042,545107,548320,595838,420743,594176,541497,347354,533073,754252,553603,853489,594622,451395,856685,570887,541713,612638,475634,422765,476198,358573,630147,475299,616976,273952,498463,470303,711676,578839,527383,395098,675023
Trimethylamine-N-Oxide (TMAO),HMDB00925,C01104,1018386,713103,1691926,51038,690653,389901,2239323,939974,924489,832473,1105940,955670,789786,350997,1668739,1449397,1031881,689400,714661,5355870,862715,1562481,581221,1484686,1155476,340523,886583,1381914,697516,751907,287033,435876,675310,947826,470724,1560932,864531,1152648,3422993,358103,947080,693676,629854,516309,1475713,648114,754540,1065271,628221,1790749,1301161,1816050,854842,373017,854231,979543,608108,4236376,814762,199610,853083,738026,4163864,1463581,1568317,1698420,636672,945172,3860194,1949962,2196901,586738,N/A,2376716,1468737,1003728,850534,651297,1795504,1293149,2462264,144327,253687,870600,582404,1342918,885891,468614,3121372,938817,581906,1618672,4389962,662882,2911124,501476,1839810,840703,372103,872017,560836,66929,1674789,667819,501326,491415,1417826,115938,1377383,2017485,454810,540229,1193785,1898454,360717,2877180,1583829,1375715,2100556,806960,509114,1000736,486663,1307428,583825,643711,2621911,180581,386338,433659,3188233,681069,879598,663698,496105,1211427,1291875,850154,765971,642825,354368,556549,709845,171168,1703895,693677,239644,666852,793748,1004259,1721509,151202,236061,893128,1068385,2016950,494059,427048,287143,639714,224624,551234,1416066,1356151,681889,717365,342357,518100,651090,619385,1568344,819355,1542398,586435,1011855,102429,406938,517710,727551,408656,1935738,857654,702902,697901,7532759,555822,1298223,890478,598065,741330,1076656,2981997,1823724,920044,1142252,873462,1441950,974393,325036,848699,482357,2020687,1212941,392569,1382926,692604,939561,423184,433789,815212,557815,799554,1208459,1885519,2203330,336957,982978,1789156,715378,753745,711923,632127,1915306,1270144,980678,2217384,1228649,1419064,1642963,843515,748800,1358717,1109130,1196892,768958,1184979,912487,1204111,2162721,965870,2392762,114076,1027846,7574911,637423,791619,774904,846002,117897,819218,888414,783271,752641,631730,2847207,829014,921017,510794,331757,297507,248633,789742,427740,399496,917352,621361,2371720,203937,596905,427424,3514605,3717529,2610241,1294108,571413,2245309,757969,557540,712766,610317,804223,804273,360090,611160,1041358,3514600,1192848,787266,950881,448484,1895134,765529,484461,490148,753997,777346,1325969,4269201,591248,885510,570444,398356,733167,402093,910553,446010,1073145,939540,905581,789518,651547,675800,1148870,809940,259733,1889667,563522,785820,156286,797659
Putrescine,HMDB01414,C00134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betaAlanine,HMDB00056,C00099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alanine,HMDB00161,C00041,10169844,15550143,14487719,13437247,13131315,15276136,13563433,12987006,14944397,11936345,14496188,12524088,12906174,7657025,10101409,19499990,12349774,11525321,9816549,12984783,13765762,12807199,7135666,10391410,10839967,8551771,12181718,13721635,10157593,12753779,12714329,12244230,16706813,13625274,13815264,13110819,9984961,10480205,10941342,9814132,12647631,11404505,10301098,15374504,12764678,6828975,13556818,8399637,12350239,16320450,9002756,8393317,14833219,12105786,13085385,14747656,7881949,9475804,11598215,12837142,9342339,13896897,12829693,11864502,7307674,12716575,8355683,9323685,13883443,9319111,9067643,11216796,9500487,21585313,12395146,9406218,9094243,9033519,4103671,9108296,9199832,9829101,8555529,7844277,10888302,7805703,11997733,13667461,8248653,13109737,13122935,10345846,12180319,9723471,11525076,10660526,14633858,10539586,13565089,17765187,11322360,8676137,14001160,10688519,11425757,11318291,11200150,14797851,16997692,9649232,12213657,15500593,9808602,8951494,9892494,14702560,6762767,8834297,10532838,10001305,8626693,14569581,14476448,11603808,8689230,8755527,14390642,11324264,13246754,14829428,6233605,12830647,13501146,11691065,12330837,10680851,9478416,12452096,9293598,12684331,14008605,12567544,12634959,13895424,10235804,11741065,8498104,12304938,11838681,10003721,6997004,12680549,8565920,15084749,5847389,9871162,8330981,13265302,10688786,6210982,9778064,8498139,12610440,11527940,12134488,9805763,10995628,16591572,12563866,11664015,10955998,6069451,13746498,10456277,10090078,9910825,11645144,10731805,11008729,14379684,11282465,8406525,7489808,8730494,11523433,8452153,8725308,9358594,8375135,10738229,5315002,11285815,10097944,8941748,13222000,11274602,14035378,9797558,11395876,14785290,12185841,13815444,9809205,14030352,7729611,12364222,8195880,11306652,13963278,12178237,9790759,13116578,19368499,15374732,11876937,9009602,6580457,13302749,10949097,8018262,5321036,19244394,10461447,10778777,12221811,11809027,11398627,11536206,10486016,8885637,11268256,9531548,14203538,14003002,8211690,13608401,14194169,6392935,8372433,13495044,9917458,12823813,9247962,10132690,7820125,8647060,14491501,11880186,13092635,11052090,7707226,9519891,9989647,13487586,11593531,9633873,9180855,12989536,7942095,17561116,5772206,4739454,12619658,9603761,7551043,7013482,13791475,11925827,14322309,9326680,7679636,8620439,8623572,10743733,11563045,5485256,11568266,9439332,13274748,9646487,10808411,9207132,11363966,14199818,8871036,7114161,14775062,8043856,10577514,12585150,7547906,9130192,11958136,9224963,11718964,9106544,15513617,10660565,7735574,10706748,11866911,11897047,9592241,5759402,10681056,11418466,11079074,12768082,7628933,11094344,9141381,13183130,6665181,9538198,5631371,12033457,8019130,11878138,8869151,10043577
Sarcosine,HMDB00271 ,C00213,189875,263728,84838,214619,86771,150006,126584,125897,165752,227449,128975,207671,137984,98440,119432,160351,145042,98113,152273,123495,175241,140457,105624,190011,108537,224682,87638,150304,179378,192513,118926,92189,169770,317165,151419,212963,117355,175155,252828,87465,110134,208911,111869,142186,161782,105414,105961,144001,89714,115951,133103,122804,178352,123741,123957,126989,57406,205964,123612,142089,128812,145276,121892,165480,82315,96392,111655,90915,117376,136302,122587,223585,104931,196634,122381,74045,91184,122739,99522,132575,135066,130973,304443,99811,107455,101195,175113,144786,101558,74512,127538,148777,155523,115069,156699,128183,139654,104539,89821,106279,180345,94625,115169,103953,154817,98768,271977,290930,122834,150096,123377,84437,212215,205762,40057,169848,157734,109048,62601,87326,74752,125259,227548,82762,127542,76332,111774,120923,134214,112329,70082,203488,105441,99584,112054,122353,80945,138922,58209,94932,140501,131184,144350,118756,114169,63880,99495,110193,204096,105556,94838,161866,84832,148734,76070,167929,113939,124135,239279,116278,201608,205500,132111,204658,138612,180233,77070,107856,150751,346695,86800,80247,125516,114176,76940,128838,119349,67574,104780,165443,205100,79516,133313,119504,176992,89174,148214,132106,123735,105771,149670,402032,113286,212514,126492,229562,91651,160853,98221,114960,110946,124697,135993,126421,68150,149014,165308,113042,152496,107932,202085,104390,145783,244829,111055,106954,84542,152642,108480,68273,86731,147372,121397,127376,89882,144847,201030,168078,161571,57824,99414,88270,97736,109878,264321,143937,133400,134227,123740,150162,145904,136847,132117,163134,88694,140087,195375,131864,163247,72189,88561,217868,212122,380381,91632,148242,113902,161637,76096,157426,76868,99013,72458,112323,98856,110140,198483,190362,158201,82669,46672,227910,123415,133581,83648,85284,156495,81278,173343,134117,73250,361280,208630,92355,129544,133534,134120,121367,108467,103587,125005,122839,92426,299657,115123,627592,153061,126929,303201,138529,102749,215272,95447,56231,78169,187916,90874,114937,322127,134927,114182,249259,64265,90934,186730,188499,128453,180830,304052,134205
