COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(I)21,QC(I)22,QC(I)23,QC(I)24,QC(I)25,QC(I)26,QC(I)27,QC(I)28,QC(I)29,QC(I)30,QC(I)31,QC(I)32,QC(I)33,QC(I)34,QC(I)35,QC(I)36,QC(I)37,QC(I)38,QC(I)39,QC(I)40,QC(S)1_Batch14,QC(S)2_Batch14,QC(S)3_Batch14,QC(S)4_Batch14,QC(S)5_Batch14,QC(S)6_Batch15,QC(S)7_Batch15,QC(S)8_Batch15,QC(S)9_Batch15,QC(S)10_Batch15,QC(S)11_Batch16,QC(S)12_Batch16,QC(S)13_Batch16,QC(S)14_Batch16,QC(S)15_Batch16,QC(S)16_Batch17,QC(S)17_Batch17,QC(S)18_Batch17,QC(S)19_Batch17,QC(S)20_Batch17,QC(S)21_Batch18,QC(S)22_Batch18,QC(S)23_Batch18,QC(S)24_Batch18,QC(S)25_Batch18,QC(S)26_Batch19,QC(S)27_Batch19,QC(S)28_Batch19,QC(S)29_Batch19,QC(S)30_Batch19,QC(S)31_Batch20,QC(S)32_Batch20,QC(S)33_Batch20,QC(S)34_Batch20,QC(S)35_Batch20,QC(S)36_Batch21,QC(S)37_Batch21,QC(S)38_Batch21,QC(S)39_Batch21,QC(S)40_Batch21
Trimethylamine (TMA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,368405,313905,328610,297644,252171,257608,230731,200204,212331,195445,208695,200553,193460,211652,197586,190823,179729,197571,176085,161694,181550,195353,168198,185691,171140,200026,164450,180634,163883,168933,175304,173899,169760,157105,172674,179553,166969,161174,156923,132899,186012,164441,158902,112313,129369,126026,105705,103965,119820,102022,112187,99127,93060,92895,92539,98881,93850,100852,93376,95254,99707,92474,99190,95096,95137,92762,93982,98086,98289,89407,88850,88649,93956,90995,89911,87422,90067,81660,86235,88918
Aminoacetone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,961870,981441,952634,991298,959935,892477,938865,935641,929214,960386,924925,911546,930355,905325,967832,932781,897306,892937,864479,897982,843746,924736,881156,940757,882426,907764,877907,854375,905837,949052,934875,937655,857563,859819,872586,905656,865308,906137,884693,828940,537874,517832,524871,503585,495300,515840,512173,512729,518527,517642,480182,500147,502009,495393,518410,480526,485725,461120,497431,490950,481676,506297,471785,518899,483289,517026,492592,503378,490597,515875,516431,496730,495604,480877,473056,473338,482928,480420,479478,490051
Trimethylamine-N-Oxide (TMAO),1457944,1389896,1330245,1295372,1342402,1322966,1298708,1218799,1275622,1251542,1307457,1203381,1205593,1267694,1224969,1176785,1174322,1088545,1049264,1117921,1105025,1094669,1049370,1128672,1082270,1106068,1121312,1164255,1140065,1174269,1152439,1105053,1123224,1101233,1088649,1066965,1075779,1134420,1168995,1151742,920990,917962,907865,872441,906598,877662,850925,803751,823645,917267,829763,825309,827573,852595,842913,803835,823072,783100,771169,770797,763464,801848,759497,823818,798714,807310,781201,751976,835799,832968,825409,864244,829694,804036,756515,800656,861316,844314,803733,769282
Putrescine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betaAlanine,263743,260591,205723,224255,229089,237347,233131,191337,233664,207364,224485,237538,205041,223999,200300,201657,226586,211376,206961,162416,179664,200153,191627,195750,175918,173737,192310,183292,199064,183496,190658,159911,187656,164194,190473,197723,171341,183357,170427,167232,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alanine,14904222,13935161,13883750,13776389,13548988,13522652,13828438,13576712,13700888,14316683,13473309,13729672,13735216,13748065,13150060,13220824,13352760,13042251,12855851,13101326,13151996,13304974,13162036,13313542,12876447,13071207,12966475,12857916,12964932,12760455,13238646,13311728,12939276,12780409,12744128,12896261,13041813,12933062,12752052,12265207,13307023,12611493,12543470,12746640,12266183,12057849,11998638,12205702,11840360,12057410,12070035,11943986,11710239,11484975,11683622,11653699,11674877,11506813,11731512,11695648,11651698,11698334,11402929,11410570,11407343,11517110,11490105,11427060,11251028,11315421,11132501,11183009,11202215,11195512,11047808,11112937,11374598,11410871,10920799,10991427
Sarcosine,51248,51347,49062,41590,58522,54700,37050,49269,48477,49701,47808,51577,51171,50957,48994,43369,47133,50281,55773,42645,43492,43050,44583,52874,52481,42051,41023,44154,49958,47693,47427,44310,49188,52586,49419,42325,45991,50135,45832,48683,92496,89271,90827,85459,86702,83191,79574,98556,86498,86559,84674,85221,74495,86101,74730,78672,88873,89874,93433,98428,95693,86671,82348,88039,79196,86324,77600,77402,86643,91220,73103,75583,75901,87284,88540,73936,77523,70935,70132,77317
