COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(I)21,QC(I)22,QC(I)23,QC(I)24,QC(I)25,QC(I)26,QC(I)27,QC(I)28,QC(I)29,QC(I)30,QC(I)31,QC(I)32,QC(I)33,QC(I)34,QC(I)35,QC(I)36,QC(I)37,QC(I)38,QC(I)39,QC(I)40,QC(I)41,QC(I)42,QC(I)43,QC(I)44,QC(I)45,QC(I)46,QC(I)47,QC(I)48,QC(I)49,QC(I)50,QC(I)51,QC(I)52,QC(I)53,QC(I)54,QC(I)55,QC(I)56,QC(I)57,QC(I)58,QC(I)59,QC(I)60,QC(I)61,QC(I)62,QC(I)63,QC(I)64,QC(I)65,QC(I)66,QC(I)67,QC(I)68,QC(I)69,QC(I)70,QC(S)1_Batch22,QC(S)2_Batch22,QC(S)3_Batch22,QC(S)4_Batch22,QC(S)5_Batch22,QC(S)6_Batch23,QC(S)7_Batch23,QC(S)8_Batch23,QC(S)9_Batch23,QC(S)10_Batch23,QC(S)11_Batch24,QC(S)12_Batch24,QC(S)13_Batch24,QC(S)14_Batch24,QC(S)15_Batch24,QC(S)16_Batch25,QC(S)17_Batch25,QC(S)18_Batch25,QC(S)19_Batch25,QC(S)20_Batch25,QC(S)21_Batch26,QC(S)22_Batch26,QC(S)23_Batch26,QC(S)24_Batch26,QC(S)25_Batch26,QC(S)26_Batch27,QC(S)27_Batch27,QC(S)28_Batch27,QC(S)29_Batch27,QC(S)30_Batch27,QC(S)31_Batch28,QC(S)32_Batch28,QC(S)33_Batch28,QC(S)34_Batch28,QC(S)35_Batch28,QC(S)36_Batch29,QC(S)37_Batch29,QC(S)38_Batch29,QC(S)39_Batch29,QC(S)40_Batch29,QC(S)41_Batch30,QC(S)42_Batch30,QC(S)43_Batch30,QC(S)44_Batch30,QC(S)45_Batch30,QC(S)46_Batch31,QC(S)47_Batch31,QC(S)48_Batch31,QC(S)49_Batch31,QC(S)50_Batch31,QC(S)51_Batch32,QC(S)52_Batch32,QC(S)53_Batch32,QC(S)54_Batch32,QC(S)55_Batch32,QC(S)56_Batch33,QC(S)57_Batch33,QC(S)58_Batch33,QC(S)59_Batch33,QC(S)60_Batch33,QC(S)61_Batch34,QC(S)62_Batch34,QC(S)63_Batch34,QC(S)64_Batch34,QC(S)65_Batch34,QC(S)66_Batch35,QC(S)67_Batch35,QC(S)68_Batch35,QC(S)69_Batch35,QC(S)70_Batch35
Trimethylamine (TMA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,270637,274895,300133,274096,287142,273602,270594,241669,243034,245758,227606,237095,243500,236524,234398,231042,232292,211121,247933,220654,214458,193007,225837,229457,257517,233157,226069,215629,219944,222029,223897,211327,206846,226879,202681,233163,199979,209972,217693,231934,241194,237501,216858,233508,210099,200734,206945,219405,208729,200731,197649,219553,213297,184371,193889,225611,220475,235174,184523,212755,180199,188981,142911,144582,143907,134344,286964,290722,238985,242201,172299,153016,139913,142065,133595,142471,135223,125552,128398,122712,136115,125079,123380,113897,117069,108894,118144,108196,105095,103763,102440,100148,106014,105383,112791,120232,109476,118561,112822,104424,115576,94195,96972,96439,95331,97394,113160,112100,97872,102043,119917,96365,114907,94691,118593,109124,99860,91094,114003,106559,92784,95995,89711,93852,90626,103972,112868,111765,95169,96837,113306,90253,88672,93258,99178,93476,179668,172137,157349,145703
Aminoacetone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,1101227,1091915,1084199,1029768,1083780,1117073,1049554,1107074,1036137,1000493,1019242,1028870,970769,987170,1026906,1000654,1000296,964009,1013874,952741,959617,963065,994490,1031815,1032312,943289,1055262,1046018,1012312,1042620,1043259,977363,993432,1011411,963700,998025,962099,962976,1020632,993549,935317,869040,914607,942278,1000875,1040093,940572,952912,982812,967435,914785,1002484,928919,989164,1000329,1030513,970134,937434,1032624,920686,942628,816925,771680,707741,749265,717111,796186,765036,803111,745735,555398,584236,579856,581983,624813,558739,564669,552656,591670,583739,525876,566821,538618,528044,518997,570860,560004,554520,539450,537441,568084,538810,525945,517237,548932,536072,563547,541714,548729,508808,575065,532952,569320,531100,565921,521609,545775,489359,503752,482598,514115,520340,502702,481266,515837,531903,546371,508943,534752,484735,479838,484317,495847,519185,559578,562253,541080,551206,552555,553022,545856,496351,512539,518612,527169,464107,499374,455843,492872,452943
Trimethylamine-N-Oxide (TMAO),190353,185138,188333,191345,180661,183149,186292,206302,171015,201239,196645,214461,185073,223087,213315,221769,216860,186494,178867,230820,208802,225244,231094,228252,244926,239373,218626,243009,255596,215911,201965,227116,211294,191924,237258,259429,266061,187785,211568,285521,200378,195097,216672,245497,234820,232407,239631,235696,281439,254425,258708,282707,223880,228810,269238,306273,303057,259380,314501,326493,290892,294414,242913,244938,362819,307397,123362,117783,136723,134602,158856,165926,179152,176911,169369,159082,176461,161842,174835,189187,145960,174832,188310,190495,179331,179540,181676,191513,190331,196044,171364,199729,195264,217836,216104,219229,208629,226319,228095,202045,232421,187304,221802,200939,197731,203491,201525,209471,208281,212355,231243,205004,226701,210283,235594,248414,211859,230356,231375,202506,233676,229318,234882,263187,254210,234919,265068,281485,265953,256141,257349,240179,282794,237047,268780,219002,91713,108142,134313,120582
Putrescine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betaAlanine,251805,236009,212342,203759,240717,188688,219900,200693,188714,192253,183579,190635,181162,206453,188348,176920,182718,179885,177852,186351,167951,168407,194549,201201,194634,209442,189436,222579,201383,182714,177486,189736,174263,202869,193663,170495,164083,170780,156299,156326,166148,177012,154775,158773,165768,180759,183089,167777,143511,176468,155631,161371,146672,148624,167069,171958,185094,177469,175291,177615,194892,143238,149150,137067,159523,148800,178486,186630,185350,198497,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alanine,16199526,15752548,15752423,15413729,15829377,15894416,15253039,15571143,14967402,15138383,14280877,14411852,14782502,14068171,14462103,14246770,14093696,14424100,14386067,13592966,14187915,13693662,14241415,14317382,13784872,14185562,14937094,14093665,13502732,14136641,14033628,13363144,14094770,14652296,13659117,14033160,14181154,13233577,13855405,13136844,13415253,13492550,14139785,13771836,13187037,14119188,13377986,13349988,13355100,13180133,12913726,12811757,13050916,12860869,13148937,13623277,14099869,13797902,14121631,13370539,13066672,11633564,10511385,10251863,10899938,9613373,12360905,11600845,11353666,10733935,13077928,13433749,12247940,13421669,13485176,12859136,13022973,12985189,12698646,12780569,12395396,12716848,12273605,11727394,12177921,12468495,12473213,12141760,12291100,12340273,12519061,11882142,12480606,12157529,12134435,12251666,12475552,11942726,12161420,11419715,12098854,11744280,11968632,12030080,12128881,11902165,12038397,11134063,12092548,11695743,11657242,11477289,11608905,11300436,11314022,11820991,11653874,11511757,11462978,11134770,11156707,11300060,11760670,11827249,11664072,11538989,11505485,11570334,12078966,11437839,11743443,11275255,11328239,11334439,11295357,11257249,12530095,11481489,11579286,11627228
Sarcosine,62149,59662,65993,54170,50631,61526,60146,67684,53113,57738,59036,47317,52496,53189,53527,53534,54052,50228,51369,44643,53735,58902,62848,59707,52529,45672,61762,53522,49930,47943,45151,59365,58524,51345,45130,50138,57023,52448,48297,45349,49591,45988,43297,50284,52898,46447,47674,44679,60598,45758,46810,50095,46694,59781,46628,50740,51644,60220,48028,48023,42109,41132,43631,44418,53736,42949,44596,50260,42043,46599,101679,110978,96690,104571,103173,93465,92277,95309,109023,103439,91207,97585,100965,97011,113463,116679,99730,103135,94597,96866,106030,91484,103243,100180,91484,109798,96056,93365,93306,105245,92359,95896,95630,93086,93370,98001,96462,101448,91533,101828,85556,83619,78809,93283,98957,90220,86135,90352,83129,82947,97182,86253,83083,88373,91306,99472,105090,92222,110590,75211,95279,87292,81326,82945,80771,94744,116066,87413,109213,104352
