COMPOUND,HMDB ID,KEGG ID,1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
Trimethylamine (TMA),HMDB00906,C00565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,HMDB00149,C00189,70691,84505,68099,119871,88562,70123,123964,117930,78470,73563,91505,73506,86196,84872,64576,74680,113698,88262,74391,109522,179921,105163,78452,70246,112908,95010,77710,68503,99134,101806,95652,104121,66725,69360,83179,116542,126440,58391,104774,118339,81579,119962,96799,88033,105551,87290,77042,78747,95185,136176,87400,94204,64800,92376,95652,79606,53386,83751,83673,90102,107617,74864,98067,62361,85031,86131,60767,82003,73370,83925,54014,79174,53918,77661,81221,74754,80054,50882,42094,78265,53765,60896,47143,48237,71182,99375,87023,54894,71655,70554,69853,54008,45577,55344,79804,49434,73305,92355,53118,55584,53629,88022,52157,42336,71655,44043,76120,56417,60205,58662,55701,84815,61137,92556,58277,48124,73070,60538,81376,67211,61019,48266,64408,55300,53794,107202,58900,70278,59444,62815,71381,74779,41421,88544,52975,90617,59804,85019,78469,50510,70694,87380,37527,53834,44231,50016,81900,44093,44979,57024,62625,48286,79095,46640,66809,45765,50805
Aminoacetone,HMDB02134,C01888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,HMDB01522,C02294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,HMDB00123,C00037,456967,415511,610233,664996,434343,434568,420479,293836,374332,341131,281282,308914,457358,474787,314679,374611,413086,523299,350007,460375,473353,285273,294818,343724,365196,341759,355935,595970,530071,445039,663026,522596,355593,381639,418482,437610,522297,529862,364748,547975,390175,423338,605826,450859,527534,455886,401400,556816,527520,462242,377506,423185,447323,355696,413538,363408,273074,518221,358055,457332,491335,335979,407268,232589,279954,314775,384065,429535,421774,376542,292036,473497,404386,390206,421430,532144,386455,307145,315907,306710,455052,430228,248838,334029,352222,433401,450983,311855,404208,335404,329336,216470,313024,452106,425155,460974,307922,377814,374267,212406,276391,391480,258922,291846,431979,287068,302484,441488,368595,341207,313528,388073,322327,339006,318562,335748,271833,442632,252535,368890,406540,402171,423867,347294,223319,338876,338131,267482,243027,326949,413289,329206,312094,264515,174456,317793,562481,381856,333137,295575,426346,434017,220413,419763,278560,247814,273482,199874,214646,227304,214548,312521,342062,339612,420665,238251,329736
Trimethylamine-N-Oxide (TMAO),HMDB00925,C01104,2665655,1959638,3794787,280216,2029600,2244456,2665144,1987293,1589054,1412152,1507915,1586287,1364290,1191283,3029814,2004691,2216815,3805931,3204711,1192342,675125,2699531,2802495,1190942,1968941,2222357,2201504,1208578,613342,1279002,988014,7173727,1904216,1266623,3049737,1885489,460112,1286102,872223,945786,1238729,3256753,429638,5955687,1172839,809307,1486575,3286200,2077408,545553,926602,1016951,3004591,1115791,1090308,546555,859432,1420438,1411936,1481792,156963,958189,1454356,4143513,1033233,2927416,1353534,2136358,862949,1223125,1470831,3630625,1327794,4030920,1386743,889078,2016359,574591,5661413,4548909,891354,835662,2498164,1542508,853909,1086777,1420954,1918940,1952014,831764,634624,819367,4043476,1102231,809396,1355335,566747,1098196,1322715,856660,1082527,845191,3396318,1383825,931974,930448,1166479,1934740,1255090,1710704,966690,505517,1563883,1398683,865576,1781064,1036885,672848,596203,984765,1634935,978432,699760,2489958,754925,1487396,983816,256290,825836,906145,1184193,719009,773811,74351,1177059,1413382,3152953,665552,985728,488601,1900066,1053593,529028,607413,353112,722266,541086,365985,367354,951429,831435,910481,1561903,1933743,4143689,1521796,4075653
Putrescine,HMDB01414,C00134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betaAlanine,HMDB00056,C00099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alanine,HMDB00161,C00041,6526883,11983595,7624289,13869718,10026482,8637592,6576377,5775925,7739716,6997579,7603665,5620073,8336536,7437012,5589238,10292215,6866103,9623409,6433619,8670603,6324080,8555933,6701627,7565114,7666454,7189979,6797413,7074328,9246158,9817244,8056696,10307097,8694436,7345225,6339569,9782763,7761069,8845635,7656809,8322394,9138402,6305019,8970651,7022171,9260537,9059535,4478660,9215321,7063595,8289300,10083206,8710105,8976465,6599837,8576080,7690605,11446006,7119369,9439949,8271912,8871134,5681966,9267339,6619913,4411401,8620772,6984617,9654682,5966753,8410685,3965385,12084706,6896490,7504967,7268625,7082139,10313832,4171550,3808763,8100697,7055249,7992218,4601676,4807881,5003982,6393530,7332331,4588617,5729462,7196829,7733173,3963428,6741629,5473480,7238742,5098912,6881920,7011763,6492637,2620173,5538949,7175669,5016456,4128544,6812224,6230687,6207017,4878761,5266804,6764801,5911908,4889752,4212947,6021469,5340318,6639694,11128448,6781064,5415070,6310322,3878874,4832771,4774322,5930291,4401094,7192901,7124009,6516530,5041276,6580834,7686362,7407359,7470218,8951354,3631551,5157583,5608535,6690728,7109289,6513632,6016427,7465809,3385868,4828658,4933296,4003075,7983252,5715641,4225829,3328073,4097342,5209221,4211377,4822681,7428680,6970622,6045606
