COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(S)1_Batch4,QC(S)2_Batch4,QC(S)3_Batch4,QC(S)4_Batch4,QC(S)5_Batch4,QC(S)6_Batch5,QC(S)7_Batch5,QC(S)8_Batch5,QC(S)9_Batch5,QC(S)10_Batch5,QC(S)11_Batch6,QC(S)12_Batch6,QC(S)13_Batch6,QC(S)14_Batch6,QC(S)15_Batch6,QC(S)16_Batch7,QC(S)17_Batch7,QC(S)18_Batch7,QC(S)19_Batch7,QC(S)20_Batch7
Trimethylamine (TMA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,117183,120064,115301,117448,112472,117594,105143,94663,90759,81009,88612,91752,75344,80088,78308,67663,71712,76758,64411,65454,86677,89812,74592,83379,80612,77776,77806,76667,73384,64448,65337,66056,68234,65542,74045,61278,68460,60111,65429,63376
Aminoacetone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,588558,576814,590330,562057,515393,592183,554039,530672,569635,523683,510896,470840,476648,450380,432311,443952,473608,458927,422921,422640,410045,415578,405062,403455,398057,404488,406213,387011,370565,345182,372829,352433,357315,334741,329590,324789,346981,335910,326448,324660
Trimethylamine-N-Oxide (TMAO),2004146,1986947,2040519,2000600,1932676,1598613,1866348,1749124,1735277,1724340,1784514,1682365,1747294,1638780,1661125,1594497,1649354,1525160,1614992,1617263,1435387,1447490,1430224,1434157,1355894,1375755,1284172,1335187,1284710,1238379,1268615,1160470,1207792,1203693,1228124,1105309,1232474,1140216,1051127,1176057
Putrescine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betaAlanine,140126,118371,119687,102200,98570,96659,100280,99510,93754,105125,94478,98335,104558,89114,82648,73456,87187,103261,84559,84298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alanine,9717311,9660407,9698239,9277476,9177301,9176428,8704886,8125094,8502005,8083065,8082351,7597221,7630540,7398520,7283057,7033835,6654643,6740567,6745413,6626851,9235796,9145705,9101768,9061966,8855658,8687996,8302052,8250035,8003325,7730142,7809282,7389214,7421948,7242506,7205891,6760919,6700577,6862327,6703147,6568759
Sarcosine,48579,46134,45102,42729,47903,40123,39516,41035,42257,43196,35903,47955,43190,46255,40493,42983,35638,39991,31440,32979,42148,42490,41562,47349,47411,47077,38966,47753,37870,43733,46749,45327,38315,41097,40689,36078,37892,45153,39662,37525
Betaine Aldehyde,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cadaverine,99032,100259,97705,109092,107839,86959,85586,81173,99410,107719,83452,80436,109598,110991,99417,95957,125855,82095,83003,91663,125181,129375,134779,121232,129180,106969,108440,111791,119051,120127,133384,123893,114320,120634,129705,129153,111154,108000,108930,114889
3-Aminoisobutyrate,71080,63149,65212,63976,56542,52063,52297,53589,56716,54860,58288,58584,49738,48303,65412,66284,49526,55530,57481,52246,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Choline,41344297,41091285,41894387,39874291,39135204,38691939,36898021,36937832,35281747,34285047,34275868,33519374,33936966,32889217,32519074,32038111,32018106,30552867,29231268,29171436,15390626,15833082,16165250,15837496,15144528,14967025,14219105,13958586,13474101,13256701,13636911,13739779,13343243,12912451,12986852,12672887,12988539,12136020,12002334,11898636
Dimethylglycine,462054,466260,467802,459925,476844,456381,445944,444837,442854,455273,416880,414546,375546,378672,375231,386844,391292,379381,395221,415740,492695,441396,469785,472627,434811,438787,470690,477716,430501,429214,431998,396756,390213,375297,389147,395831,379968,430521,382313,379481
L-2-Aminobutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Aminoisobutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Serine,8268637,8294285,8197789,7938544,8058956,7984467,7629200,7268462,7195960,7190196,7039709,6715960,6522682,6387739,6391346,6173232,6147032,6424147,6139784,6080924,4859353,4975453,4857669,4774806,4770616,4851317,4616516,4407762,4352416,4228702,4195537,3800896,3862811,3907993,3920327,3821227,3772690,3818927,3901206,3873794
