COMPOUND,HMDB ID,KEGG ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240
Trimethylamine (TMA),HMDB00906,C00565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,HMDB00149,C00189,259768,237109,234650,225039,226780,239318,222435,272943,190305,261242,81633,240148,212384,228171,189814,248980,270952,203653,271084,214802,331811,197987,202313,337290,191806,154615,108235,292448,171591,258139,125096,276372,182024,294046,123396,192286,255478,374760,187484,255773,274801,187678,217628,287938,298986,168269,291351,279412,164386,255712,181915,259444,258740,236329,305407,221502,349719,222478,309542,176784,263948,285773,173017,190074,237700,246744,254553,159412,292626,187385,251658,178552,318898,142817,214298,310785,176676,190763,207708,238015,161907,171670,191411,251360,238805,250303,199453,246860,200513,157632,232946,196024,187360,418505,123702,183244,293666,155841,147358,212382,149940,113828,209529,202054,252520,286107,228024,246652,181623,192472,178173,159374,171361,232375,243737,174448,199316,183849,189609,309390,175933,208196,222200,182991,202203,161680,205361,191606,159452,192690,186495,173937,198233,177537,147104,269464,142210,129840,104619,154693,193542,157849,178331,154325,219373,104045,298245,210109,118591,148132,189844,125362,186379,162214,147547,180908,213540,142273,177373,242863,273552,209829,191355,125645,188533,185066,157953,203870,191593,188318,220347,282601,199057,105533,215925,109326,214978,156586,142009,149598,198326,195635,221268,159155,156204,166546,158743,196634,208111,226440,183211,214040,179426,133354,303375,232455,146054,188270,144528,199345,190694,247274,143471,163725,186085,198774,144566,179889,179173,202552,152921,145865,205871,248891,137494,125061,129543,115733,221578,157191,172639,172756,138892,199718,122499,184313,171905,125049,42473,213965,259849,188576,157871,186094,164539,181929,175874,134089,126813,179720
Aminoacetone,HMDB02134,C01888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,HMDB01522,C02294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,HMDB00123,C00037,644180,959602,850496,484257,876109,878286,821355,620029,567687,666009,893172,512885,612113,570514,645729,784811,601994,592814,521628,730316,552213,558575,544877,580894,514100,615514,585641,1057510,483954,687043,505328,524023,539098,818747,549181,598962,588600,660400,806301,966215,590287,555364,415212,576785,539316,630023,885733,554824,565883,607842,694016,697812,820426,437547,823567,503379,769349,750676,487997,509886,698953,726798,573866,561942,1042856,539126,1034070,634913,408993,540018,463919,639422,708808,599272,703107,609325,465645,453692,672572,733626,565067,496904,484414,910545,729019,932821,555587,762062,557004,386462,771616,600858,613634,707502,653041,711384,807425,892396,743680,614422,713763,450852,741076,728246,679163,784086,445955,752640,856636,523340,873009,408348,375775,636897,658696,488159,435415,730636,719441,998293,790047,549157,508352,777040,554454,577473,709078,514597,673454,761168,671054,604168,1016948,583162,523723,723224,552688,492751,301716,557034,625925,632992,514047,723146,782626,580889,876123,903738,643067,482606,547142,396795,547145,654673,830240,530211,521741,582330,610371,657650,730177,748409,416675,498522,763824,643045,780292,524091,714062,673347,446787,802797,695947,383773,903255,317992,581369,658206,480807,692219,795709,908055,743260,593072,585404,584726,774257,510975,680845,472082,662864,557685,930637,448504,983414,988120,844862,767202,465569,743709,576933,917564,657534,1159915,479522,779139,642176,563904,750702,860980,486441,593349,590350,631547,935345,717344,586817,563472,718176,646208,572064,495349,435241,536522,492000,408127,685984,678423,469988,1163070,663159,870317,570823,579347,491020,362064,769731,529921,409668,714383
Trimethylamine-N-Oxide (TMAO),HMDB00925,C01104,1753350,1229661,1330565,1032317,2178512,1244732,1010122,1537952,1119474,11406842,2444740,439331,1867532,3168398,3995659,866873,3894328,1450400,1256300,1039869,1591588,1823394,1864504,3254870,2985869,2154296,3524468,1327140,1830379,2961532,610330,707183,953652,764587,4476620,1449184,1501042,6836492,1510488,3617086,1073137,2082546,3880983,3916143,1975979,1717870,2677892,3890688,1587311,674368,1216616,2052454,3293665,2194659,1438850,1777157,1664195,2961542,3351811,895442,2077943,743337,2270578,1280137,1412254,2330296,2474436,3969091,354145,1417758,1146241,728620,2930814,1691612,1309528,2560539,1312001,1889783,1654792,2205488,5041739,3189089,2175068,1815243,2599254,1282362,886077,2603075,2525052,1353824,1409225,548761,4293335,1173379,1512721,713857,1235494,808309,6262582,801343,1608252,2675278,769740,1373637,1161378,632064,1286945,1514518,1246126,1455443,3457138,2231469,1610029,1750517,924700,1549155,1443050,1838794,1934279,733727,1174185,1751008,3129766,630957,1645733,1509933,1165364,941806,474338,485207,2185452,4066170,1141596,2339869,1008684,781821,272967,1281577,2054544,1292551,1781080,1390293,1327240,1228943,692302,2498230,1343039,1641157,1487941,1236491,2451755,1920033,3985973,703687,1381974,1884977,1183741,3301594,1515249,1073557,3392179,3364032,2649277,1066841,5265231,1285614,1340422,1297222,1849344,1123345,162389,1388222,1029995,1352913,1514697,1848712,1028784,6584994,2710558,3246821,1460391,1171793,627549,1102007,1158517,1629509,6590405,1308659,2528590,1048271,3249882,3439822,1312662,1360043,617507,810643,8168844,2139547,3602185,1335293,3434935,158216,1373017,420092,1817892,2266741,1752522,1126332,949801,1919133,1234216,657082,1429595,2596816,1195431,1395559,1239450,1801953,826064,1259489,2556732,1228508,1549463,2247581,1611412,1290919,566603,3059937,728374,856162,2728875,860251,1763265,731600,625322,2066951,1856356,1173904,1691762,675812
Putrescine,HMDB01414,C00134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betaAlanine,HMDB00056,C00099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alanine,HMDB00161,C00041,7318757,9844405,10004005,7720761,16073302,15644255,13417852,5523913,8582932,10811998,11228032,12723407,11104292,10163625,10596914,10272147,12516035,13090687,13716425,6217147,12091731,7466784,8784984,11374333,9111773,11310200,10178164,11076531,9982792,9752709,7694627,10864119,11934868,11876489,13486698,9533693,7582196,7537035,12405987,8782422,7289951,10801643,10090514,16608714,9848541,8540861,11839755,10144632,10531449,8521547,11535249,11478767,8035782,10335264,9986969,5408416,11293754,10859653,8729889,7903603,11629634,8601744,11205340,10305630,8949135,9432655,10760920,9578889,9371793,9658303,8992182,11129341,10391411,7240052,9487275,9583599,5917150,8078194,10615182,12281686,5979702,8491913,7544224,8852856,7628241,10208929,10035551,10136899,7981853,4835373,11101716,10113767,10012891,10137209,9956205,8519044,8821049,11524493,7910676,6243096,9111114,5454269,9267310,12575759,8700580,10206076,8948418,9766226,6690933,9382478,10821945,7068849,9007955,10115914,8918934,6665877,7925301,11665003,8964165,17731082,6798918,11058744,8704983,9360509,12707301,10014219,15600781,8650621,8555411,10212890,12233655,7543415,8445019,11835967,9631045,12622343,9048361,6549045,6886132,11129064,15270684,12614513,11005460,9562273,8038639,11974889,10871135,9996055,11959450,8079730,7425614,4881955,6775793,11812315,7617041,7035357,7660038,9023725,6599515,7677867,10582928,8090902,9070603,9503043,8830463,9571679,13518439,8838504,8651151,9944982,8449133,10463011,8695644,13379425,12764700,7019499,9512812,9809693,7434426,11123919,12981448,8291421,12672970,10001016,8029979,9260077,7382850,11254860,13208047,7164096,7791693,11353565,6799393,9413064,7867221,13157165,11959572,9262303,6863536,8124327,7358763,12066051,6213552,11697176,12320843,9247693,11340170,8308832,9842798,6156941,9046019,6684220,10716490,8575508,8515358,12594584,8576874,5286087,8790501,10308419,9030122,11802263,6660121,7497562,8149979,7316089,8882318,9567233,7182022,10442001,9931035,10335260,7416589,10204673,9560449,7145625,10619577,7923453,5285945,8504767
Sarcosine,HMDB00271 ,C00213,242365,252432,204992,105427,197832,108854,148247,120574,111884,223295,148933,81812,142862,123770,148712,136550,120241,110457,171296,165165,217905,199236,116828,83326,160248,115644,238248,320807,83979,153150,119676,144943,228073,169537,129939,58362,146698,187564,141018,207329,155814,159957,134886,119721,134412,131047,131350,116791,166925,91643,146840,236275,239841,154834,212589,108462,138919,173657,112528,142515,102768,145162,223115,136918,175374,128976,221445,109488,99974,89806,117793,111356,132261,122235,107904,198485,113818,99797,195229,227212,148995,119883,147222,333289,182941,136003,125820,223717,196526,67984,101339,231499,172761,241611,147784,112070,120992,324995,285722,101691,135218,150019,123102,202575,120882,164154,116728,258560,151704,216883,307710,98152,118479,137698,93519,106954,119799,195230,141461,388702,163825,152027,111929,88604,74885,163919,164457,163500,202728,140423,127387,134254,78279,218358,143832,137668,159727,54149,82237,73909,161459,111804,147839,117559,138020,134333,186820,227621,179657,137944,117237,96983,105706,194896,147156,105110,128373,289888,108214,142256,150962,185846,109736,106193,178240,149015,156906,112874,130349,174006,109391,121948,153806,79744,214309,55970,164525,203583,129734,230912,254368,181046,146717,115874,144512,151547,226592,153278,182718,224894,147712,93002,240436,126062,245049,147042,93638,160843,96167,125516,301672,151747,196613,269799,92886,212541,131336,146778,136593,181369,80620,164982,112373,197354,96316,183344,101841,64081,198036,150504,113454,117155,130409,128391,137279,190272,151611,186367,77532,169118,181038,161556,130376,102884,110819,128252,171111,90043,144223,96061
