COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(I)21,QC(I)22,QC(I)23,QC(I)24,QC(I)25,QC(I)26,QC(I)27,QC(I)28,QC(I)29,QC(I)30,QC(S)1_Batch8,QC(S)2_Batch8,QC(S)3_Batch8,QC(S)4_Batch8,QC(S)5_Batch8,QC(S)6_Batch9,QC(S)7_Batch9,QC(S)8_Batch9,QC(S)9_Batch9,QC(S)10_Batch9,QC(S)11_Batch10,QC(S)12_Batch10,QC(S)13_Batch10,QC(S)14_Batch10,QC(S)15_Batch10,QC(S)16_Batch11,QC(S)17_Batch11,QC(S)18_Batch11,QC(S)19_Batch11,QC(S)20_Batch11,QC(S)21_Batch12,QC(S)22_Batch12,QC(S)23_Batch12,QC(S)24_Batch12,QC(S)25_Batch12,QC(S)26_Batch13,QC(S)27_Batch13,QC(S)28_Batch13,QC(S)29_Batch13,QC(S)30_Batch13
Trimethylamine (TMA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,286200,286707,256997,274683,273884,268148,270511,249376,247660,261646,265018,252276,234664,238198,247109,235180,244475,235805,240011,236403,227152,224419,251429,217542,237334,230815,222398,220369,217535,228303,229439,200159,199739,220011,205248,200135,189063,194073,205323,176131,195389,202477,193482,181407,174455,203629,201375,186364,181006,188300,175837,191086,204286,170194,176794,171980,172192,171695,176363,160925
Aminoacetone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,1102031,1049442,1113941,1042867,1046960,1097365,1086866,1043601,1029034,1024380,1030273,1044851,1048562,1016599,1061242,1063814,1026152,1054490,1054838,1070563,1039538,1003565,1110130,981421,1084319,1048665,978610,1026305,1065335,961755,617598,598574,561284,585774,586214,580894,572207,570200,605292,553652,575119,531917,570128,558476,545224,537361,577875,573678,544784,577740,556003,543963,571434,599821,591853,576482,542376,553006,531036,596601
Trimethylamine-N-Oxide (TMAO),1852151,1802169,1855177,1941903,1988458,1935984,1967991,1957724,2002895,1849479,1880735,1914783,1794670,1796738,1763506,1838806,1856198,1906176,1780376,1699627,1681774,1736321,1758178,1726409,1786337,1792770,1820643,1720026,1676315,1695767,1499050,1533995,1616489,1601896,1622582,1667457,1686139,1614558,1638997,1573993,1600100,1673622,1538071,1599338,1576219,1573497,1539235,1577331,1455726,1512952,1521124,1453176,1569913,1527855,1551382,1470112,1517803,1540491,1413374,1361643
Putrescine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
betaAlanine,118086,127814,107557,101441,112292,120608,103198,105810,107373,111675,118712,112965,106202,99396,103311,111546,104659,107374,102629,92296,90870,110180,100399,104231,110544,108918,106133,106459,110132,100931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alanine,11291216,11241269,11116503,10774636,11296552,11431548,11370829,11339879,11223639,10829206,10862866,10765024,10920469,10372226,10851817,10492454,10785245,10838600,10841004,10822593,10477470,10453932,10596886,10283954,10809189,10398052,10366247,10402479,10857793,10039499,11235500,11521939,11068763,11259560,11072620,11385062,11366393,10957885,10826153,10685146,10919939,10839470,10743272,10557395,10705131,10425419,10583083,10923060,10980299,10320480,10547336,10576739,10595246,10295331,10320565,10343453,10596454,10423187,10456501,10469528
Sarcosine,60473,61311,63117,61141,60453,61507,60526,64244,64648,50192,48743,55685,56951,46157,58108,60574,55329,67126,62941,49164,55811,60820,55553,52661,46651,47315,48442,59312,60239,60188,115023,96247,103812,98502,92319,90071,94914,92258,96375,99695,102562,100284,92113,94732,103355,93987,99360,106843,113333,95792,96622,117418,106545,103202,115256,103213,100488,95527,101837,91538
